19/09/2016;9,2505
20/09/2016;9,2648
21/09/2016;9,2318
22/09/2016;9,1073
23/09/2016;9,1028
26/09/2016;9,1318
27/09/2016;9,1108
28/09/2016;9,0888
29/09/2016;9,0403
30/09/2016;8,9865
03/10/2016;8,9625
04/10/2016;8,9175
05/10/2016;8,9872
06/10/2016;8,9938
07/10/2016;9,001
10/10/2016;9,0448
11/10/2016;9,0395
12/10/2016;9,029
13/10/2016;9,0768
14/10/2016;9,0248
17/10/2016;9,0315
18/10/2016;8,9565
19/10/2016;8,9585
20/10/2016;8,9625
21/10/2016;8,9538
24/10/2016;8,9855
25/10/2016;8,9868
26/10/2016;9,0425
27/10/2016;8,9858
28/10/2016;9,0445
31/10/2016;9,0345
01/11/2016;9,0213
02/11/2016;9,0735
03/11/2016;9,0575
04/11/2016;9,1098
07/11/2016;9,1035
08/11/2016;9,0753
09/11/2016;9,1193
10/11/2016;9,0733
11/11/2016;9,1148
14/11/2016;9,135
15/11/2016;9,0848
16/11/2016;9,072
17/11/2016;9,0878
18/11/2016;9,1038
21/11/2016;9,0843
22/11/2016;9,0563
23/11/2016;9,068
24/11/2016;9,0858
25/11/2016;9,069
28/11/2016;9,0848
29/11/2016;9,0765
30/11/2016;9,019
01/12/2016;8,9628
02/12/2016;8,986
05/12/2016;8,984
06/12/2016;8,9803
07/12/2016;8,9908
08/12/2016;9,0145
09/12/2016;8,9805
12/12/2016;8,9498
13/12/2016;8,9495
14/12/2016;9,0223
15/12/2016;8,9993
16/12/2016;9,0623
19/12/2016;9,0485
20/12/2016;9,0343
21/12/2016;9,026
22/12/2016;9,0975
23/12/2016;9,0928
27/12/2016;9,1078
28/12/2016;9,0777
29/12/2016;9,0758
30/12/2016;9,0863
02/01/2017;9,0543
03/01/2017;9,0013
04/01/2017;8,9905
05/01/2017;9,0215
06/01/2017;8,9868
09/01/2017;9,0193
10/01/2017;9,075
11/01/2017;9,0633
12/01/2017;9,0625
13/01/2017;9,058
16/01/2017;9,0558
17/01/2017;9,036
18/01/2017;9,033
19/01/2017;9,0193
20/01/2017;8,999
23/01/2017;8,994
24/01/2017;8,9578
25/01/2017;8,9453
26/01/2017;8,9215
27/01/2017;8,919
30/01/2017;8,8758
31/01/2017;8,888
01/02/2017;8,883
02/02/2017;8,8575
03/02/2017;8,8568
06/02/2017;8,846
07/02/2017;8,8838
08/02/2017;8,8835
09/02/2017;8,886
10/02/2017;8,9065
13/02/2017;8,9018
14/02/2017;8,879
15/02/2017;8,8523
16/02/2017;8,869
17/02/2017;8,8645
20/02/2017;8,8568
21/02/2017;8,8138
22/02/2017;8,8153
23/02/2017;8,807
24/02/2017;8,8365
27/02/2017;8,8383
28/02/2017;8,8693
01/03/2017;8,8618
02/03/2017;8,883
03/03/2017;8,9303
06/03/2017;8,9673
07/03/2017;8,9443
08/03/2017;8,9513
09/03/2017;9,0458
10/03/2017;9,1405
13/03/2017;9,1298
14/03/2017;9,151
15/03/2017;9,1353
